Ware_house_ID,WH_Manager_ID,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,wh_est_year,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton
WH_100000,EID_50000,Urban,Small,West,Zone 6,3,1,2,4651,Rented,24,0,1,1,91,29,,13,0,A,5,15,17115
WH_100001,EID_50001,Rural,Large,North,Zone 5,0,0,4,6217,Company Owned,47,0,0,1,210,31,,4,0,A,3,17,5074
WH_100002,EID_50002,Rural,Mid,South,Zone 2,1,0,4,4306,Company Owned,64,0,0,0,161,37,,17,0,A,6,22,23137
WH_100003,EID_50003,Rural,Mid,North,Zone 3,7,4,2,6000,Rented,50,0,0,0,103,21,,17,1,A+,3,27,22115
WH_100004,EID_50004,Rural,Large,North,Zone 5,3,1,2,4740,Company Owned,42,1,0,1,112,25,2009,18,0,C,6,24,24071
WH_100005,EID_50005,Rural,Small,West,Zone 1,8,0,2,5053,Rented,37,0,0,1,152,35,2009,23,1,A+,3,3,32134
WH_100006,EID_50006,Rural,Large,West,Zone 6,8,0,4,4449,Company Owned,38,0,0,1,77,27,2010,24,0,B,3,6,30142
WH_100007,EID_50007,Rural,Large,North,Zone 5,1,0,4,7183,Rented,45,0,0,0,241,23,,18,0,C,6,24,24093
WH_100008,EID_50008,Rural,Small,South,Zone 6,8,1,4,5381,Rented,42,0,0,1,124,22,2013,13,1,A+,5,2,18082
WH_100009,EID_50009,Rural,Small,South,Zone 6,4,3,3,3869,Company Owned,35,0,0,0,78,43,,6,0,C,6,2,7130
WH_100010,EID_50010,Rural,Large,North,Zone 6,7,1,3,4623,Company Owned,31,0,0,1,150,37,1999,17,0,B+,4,6,21125
WH_100011,EID_50011,Rural,Large,North,Zone 6,7,0,5,4627,Rented,40,0,0,0,225,16,2017,11,0,B,2,28,14115
WH_100012,EID_50012,Urban,Mid,North,Zone 2,4,0,3,5012,Rented,48,0,0,0,95,28,2022,4,0,B+,1,1,5124
WH_100013,EID_50013,Rural,Mid,South,Zone 4,6,1,2,6858,Company Owned,26,0,0,1,242,36,2008,22,1,A,5,11,30063
WH_100014,EID_50014,Rural,Small,West,Zone 6,8,1,4,5022,Rented,68,0,0,1,129,37,,6,0,B,3,9,7055
WH_100015,EID_50015,Rural,Mid,North,Zone 2,1,1,3,5062,Company Owned,50,0,0,1,190,19,,4,0,B+,3,12,5094
WH_100016,EID_50016,Rural,Mid,West,Zone 4,0,0,2,5569,Company Owned,16,1,0,1,231,28,,9,0,B+,5,11,12127
WH_100017,EID_50017,Rural,Mid,West,Zone 2,0,1,2,5539,Company Owned,28,0,0,1,261,22,,13,0,A,4,12,17134
WH_100018,EID_50018,Rural,Mid,North,Zone 3,4,1,4,4598,Rented,58,0,0,1,159,22,2001,29,1,A+,5,27,38082
WH_100019,EID_50019,Rural,Small,South,Zone 1,1,1,2,5679,Rented,19,0,0,1,189,24,,22,0,B,2,21,27100
WH_100020,EID_50020,Rural,Mid,South,Zone 2,8,0,2,5678,Company Owned,31,0,0,1,65,41,2016,19,0,B+,4,1,24062
WH_100021,EID_50021,Rural,Mid,South,Zone 3,6,0,2,3980,Company Owned,49,0,0,1,156,31,2010,14,1,B+,6,19,17117
WH_100022,EID_50022,Rural,Small,North,Zone 6,5,0,4,3588,Company Owned,69,0,0,0,199,24,1997,28,1,C,6,8,40150
WH_100023,EID_50023,Rural,Mid,South,Zone 3,8,1,2,4388,Company Owned,32,0,0,1,80,37,2003,25,0,C,5,19,32098
WH_100024,EID_50024,Urban,Large,West,Zone 5,1,0,4,5670,Rented,25,0,0,1,140,31,,12,0,C,2,14,15125
WH_100025,EID_50025,Rural,Mid,North,Zone 3,7,1,3,5496,Company Owned,46,0,0,0,67,31,2006,22,0,B,3,27,26066
WH_100026,EID_50026,Rural,Small,West,Zone 6,5,3,4,4063,Company Owned,40,0,0,1,229,21,,8,0,C,6,9,10077
WH_100027,EID_50027,Rural,Small,South,Zone 6,8,3,2,5790,Rented,31,0,0,0,98,36,,11,0,C,4,9,14150
WH_100028,EID_50028,Rural,Small,North,Zone 6,3,1,1,7692,Company Owned,62,1,0,0,154,20,,0,0,NA,0,8,3123
WH_100029,EID_50029,Rural,Large,West,Zone 6,8,0,4,5119,Company Owned,48,0,0,0,261,24,2019,6,1,A,1,6,8056
