,Location_type,zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,wh_owner_type,flood_impacted,electric_supply,wh_est_year,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m
0,0,3,3,1,2,0,0,1,2009.0,13,0,0,5
1,1,1,0,0,4,1,0,1,2009.0,4,0,0,3
2,1,2,1,0,4,1,0,0,2009.0,17,0,0,6
3,1,1,7,4,2,0,0,0,2009.0,17,1,1,3
4,1,1,3,1,2,1,1,1,2009.0,18,0,4,6
5,1,3,8,0,2,0,0,1,2009.0,23,1,1,3
6,1,3,8,0,4,1,0,1,2010.0,24,0,2,3
7,1,1,1,0,4,0,0,0,2009.0,18,0,4,6
8,1,2,8,1,4,0,0,1,2013.0,13,1,1,5
9,1,2,4,3,3,1,0,0,2009.0,6,0,4,6
10,1,1,7,1,3,1,0,1,1999.0,17,0,3,4
11,1,1,7,0,5,0,0,0,2017.0,11,0,2,2
12,0,1,4,0,3,0,0,0,2022.0,4,0,3,1
13,1,2,6,1,2,1,0,1,2008.0,22,1,0,5
14,1,3,8,1,4,0,0,1,2009.0,6,0,2,3
15,1,1,1,1,3,1,0,1,2009.0,4,0,3,3
16,1,3,0,0,2,1,1,1,2009.0,9,0,3,5
17,1,3,0,1,2,1,0,1,2009.0,13,0,0,4
18,1,1,4,1,4,0,0,1,2001.0,29,1,1,5
19,1,2,1,1,2,0,0,1,2009.0,22,0,2,2
20,1,2,8,0,2,1,0,1,2016.0,19,0,3,4
21,1,2,6,0,2,1,0,1,2010.0,14,1,3,6
22,1,1,5,0,4,1,0,0,1997.0,28,1,4,6
23,1,2,8,1,2,1,0,1,2003.0,25,0,4,5
24,0,3,1,0,4,0,0,1,2009.0,12,0,4,2
25,1,1,7,1,3,1,0,0,2006.0,22,0,2,3
26,1,3,5,3,4,1,0,1,2009.0,8,0,4,6
27,1,2,8,3,2,0,0,0,2009.0,11,0,4,4
28,1,1,3,1,1,1,1,0,2009.0,0,0,4,0
29,1,3,8,0,4,1,0,0,2019.0,6,1,0,1
30,1,3,5,0,4,0,0,0,2017.0,12,0,3,5
31,1,1,4,0,2,0,0,0,2009.0,18,1,3,6
32,1,2,4,0,3,1,0,1,2003.0,34,0,0,4
33,1,2,7,0,2,0,0,1,2015.0,14,1,1,3
34,1,2,4,0,2,1,0,0,2012.0,16,0,4,1
35,1,1,0,1,4,0,0,1,2009.0,0,0,4,0
36,1,3,5,0,3,1,0,1,1998.0,34,0,2,5
37,1,0,0,1,8,0,0,0,2009.0,17,0,2,4
38,1,3,5,0,4,1,0,1,2021.0,0,0,4,0
39,1,2,7,0,3,1,0,1,2006.0,38,0,2,2
40,1,3,3,0,4,0,0,1,2004.0,23,1,4,5
41,1,2,1,0,1,1,0,1,2009.0,25,0,4,5
42,1,1,5,2,2,0,0,0,2009.0,16,1,1,3
43,1,1,5,0,2,1,0,0,2000.0,25,0,4,4
44,1,1,7,1,2,0,0,0,2005.0,22,0,2,4
45,0,3,7,0,3,1,0,1,2015.0,21,1,1,3
46,1,2,1,1,3,0,0,0,2009.0,15,0,0,2
47,1,1,3,0,3,0,0,1,1998.0,36,0,0,6
48,1,3,1,0,2,0,0,0,2009.0,9,0,2,1
49,0,2,3,0,3,1,0,1,2000.0,31,1,1,5
50,1,3,4,0,4,0,0,0,2016.0,6,1,1,5
51,0,3,4,0,4,1,0,1,2009.0,20,1,4,3
52,1,1,3,0,5,1,0,1,2009.0,16,0,3,5
53,1,1,6,1,2,0,0,0,2008.0,18,0,0,4
54,1,2,4,0,2,0,0,0,2011.0,18,1,1,2
55,1,1,3,0,4,1,0,1,2015.0,14,0,3,3
56,1,3,6,0,4,0,0,0,2014.0,9,1,3,4
57,1,1,2,4,2,0,0,1,2009.0,17,0,2,3
58,1,2,1,1,2,1,1,1,2009.0,25,1,4,4
59,0,1,8,0,2,1,0,1,2010.0,21,0,0,6
60,0,1,4,0,2,0,0,0,2000.0,23,0,3,5
61,1,1,2,0,4,0,0,1,2009.0,31,1,1,2
62,1,2,7,0,4,0,1,1,2012.0,10,1,1,5
63,1,2,3,1,2,0,0,0,2011.0,20,1,1,6
64,1,1,1,1,2,1,0,1,2009.0,22,0,2,2
65,1,3,5,0,4,1,0,1,1999.0,25,0,3,3
66,1,2,4,0,4,0,0,0,2000.0,32,0,4,4
67,1,1,1,0,3,0,0,1,2009.0,22,0,3,4
68,1,2,7,0,2,0,0,0,2003.0,27,0,3,6
69,1,2,6,1,3,1,0,1,2009.0,9,1,3,3
70,1,2,2,1,2,0,0,1,2009.0,17,1,4,3
71,1,1,3,5,2,1,0,1,2009.0,16,1,1,4
72,1,3,6,0,2,0,0,1,2014.0,14,1,3,1
73,0,1,2,3,3,1,0,1,2009.0,22,0,4,5
74,1,1,2,0,2,1,0,1,2009.0,13,1,3,3
75,1,1,6,0,3,1,0,1,2010.0,16,1,0,6
76,1,1,0,1,1,0,0,1,2009.0,14,0,4,6
77,0,1,3,0,2,1,0,1,2009.0,26,0,2,2
78,1,3,0,0,4,1,0,0,2009.0,8,0,4,1
79,1,3,8,2,4,0,0,0,2009.0,6,1,1,5
80,1,3,5,0,4,1,0,0,2008.0,18,0,2,3
81,1,3,2,1,2,0,0,1,2009.0,14,0,3,5
82,1,1,4,2,4,0,0,1,2009.0,18,0,0,3
83,0,1,1,0,4,1,0,1,2009.0,26,0,0,4
84,1,1,7,0,2,1,1,1,2013.0,13,0,4,6
85,0,2,8,0,2,0,0,0,2011.0,18,1,3,1
86,1,0,4,0,4,1,0,1,1996.0,28,1,1,5
87,1,2,7,0,2,1,0,0,2012.0,14,1,2,3
88,1,1,1,1,2,1,0,1,2009.0,4,0,4,2
89,1,1,7,0,3,1,0,1,2019.0,6,0,2,5
90,1,3,1,1,4,1,1,1,2009.0,14,0,4,6
91,1,1,8,1,3,1,0,1,2011.0,23,1,3,2
92,1,3,0,2,5,0,0,1,2009.0,24,0,0,3
93,1,2,5,2,2,0,0,0,2009.0,16,0,3,4
94,1,1,5,2,4,0,0,0,2009.0,14,0,3,1
95,1,1,2,0,4,0,0,0,2009.0,22,0,2,3
96,1,3,7,0,4,1,0,0,1997.0,34,0,4,2
97,1,1,0,1,2,0,0,1,2009.0,14,0,1,6
98,1,2,1,0,2,0,0,0,2009.0,6,0,3,5
99,1,1,3,0,3,1,0,0,2021.0,0,0,4,0
100,1,1,7,0,4,1,0,1,1997.0,24,1,2,3
101,1,2,1,0,2,0,0,1,2009.0,8,0,3,1
102,1,1,2,0,5,0,0,1,2009.0,18,0,1,4
103,1,3,6,0,4,1,0,1,2016.0,14,0,3,3
104,1,3,1,1,5,1,0,1,2009.0,23,0,4,5
105,1,3,5,0,4,1,1,1,2015.0,12,1,1,5
106,1,2,5,0,3,1,0,1,2014.0,16,0,2,5
107,1,3,5,0,2,1,0,1,2020.0,10,1,4,3
108,1,3,7,0,4,0,0,1,2017.0,6,0,4,6
109,1,2,7,1,3,1,0,0,2009.0,11,0,4,4
110,1,1,6,1,2,1,1,1,2009.0,7,0,0,2
111,1,3,5,0,3,1,0,1,2009.0,4,0,2,3
112,1,3,7,3,5,0,0,0,2009.0,12,0,3,3
113,1,2,2,1,3,1,0,1,2009.0,18,0,3,5
114,1,2,7,0,2,0,0,1,2010.0,18,1,1,5
115,1,2,4,0,2,1,0,1,2008.0,20,0,0,5
116,1,3,3,0,4,0,0,1,1997.0,37,0,0,4
117,1,2,5,0,3,0,0,0,2023.0,0,0,4,0
